4gram,count
新冠疫苗,226
新冠疫情,182
付费精选,173
股闻天下,163
疫苗接种,161
电动汽车,132
冠病疫苗,124
冠病疫情,119
东京奥运,99
新冠病毒,92
阿斯利康,90
马来西亚,87
苹果公司,81
加密货币,80
确诊病例,80
接种疫苗,79
中国大陆,66
纯电动汽,64
京奥运会,61
知情人士,60
日本国内,59
澳大利亚,56
日本政府,55
苏伊士运,55
伊士运河,55
的新冠疫,54
中国政府,54
变种病毒,53
数据显示,52
监管机构,51
冠病确诊,51
越来越多,49
约合人民,48
合人民币,48
日本企业,46
华尔街日,45
病确诊病,45
疫情期间,44
尔街日报,44
中国企业,44
自动驾驶,44
阿里巴巴,43
的半导体,40
亿美元的,39
万亿日元,38
同比增长,35
初创企业,35
中国经济,35
经济学家,34
半导体短,34
导体短缺,34
美国经济,33
竞争对手,33
本周热读,32
人士透露,32
的情况下,32
研究人员,32
斯利康疫,32
利康疫苗,32
德尔塔变,32
智能手机,30
气候变化,30
科技巨头,30
社交媒体,30
价格上涨,29
首席执行,29
席执行官,29
冠疫苗的,29
汽车制造,29
科技公司,29
最高水平,28
新增病例,28
杜特尔特,28
的背景下,27
人民币万,27
民币万元,27
种新冠疫,27
数字货币,26
二氧化碳,26
国家和地,26
家和地区,26
另一方面,26
车制造商,26
半导体的,26
病疫苗接,26
情人士透,25
半导体设,25
接种冠病,25
种冠病疫,25
以来的最,25
经济复苏,25
死亡病例,25
中国市场,24
的冠病疫,24
接种新冠,24
上年同期,24
死亡人数,23
市场分析,23
历史新高,23
航空公司,23
种疫苗的,23
新兴市场,23
来的最高,22
大宗商品,22
辉瑞疫苗,22
该公司的,22
约亿美元,22
半导体产,22
防疫措施,22
冠疫苗接,22
起冠病确,22
研究显示,21
全球半导,21
球半导体,21
截至月日,21
单日新增,21
导体设备,21
来越多的,21
公司表示,21
蚂蚁集团,21
万亿美元,21
标普指数,21
为亿美元,21
经济增长,21
疫苗的人,21
的疫苗接,21
全球经济,21
新增起冠,21
增起冠病,21
德国之声,20
临床试验,20
制造设备,20
人民币元,20
纯电动车,20
疫情爆发,20
在半导体,20
全球最大,20
的可能性,20
液晶面板,20
疫情暴发,20
来自中国,20
专家指出,20
病疫苗的,20
本土病例,20
第一季度,19
全球份额,19
个人电脑,19
在新冠疫,19
过去一年,19
对冲基金,19
疫情影响,19
与此同时,19
芯片制造,19
个百分点,19
车载电池,19
苗接种率,19
年下半年,19
变异毒株,19
辉瑞公司,18
该公司在,18
周一表示,18
市场份额,18
集装箱船,18
冠状病毒,18
世界经济,18
苗接种的,18
芯片短缺,18
总统杜特,18
中国疫苗,18
最严重的,18
年以来的,18
发达国家,17
疫情前的,17
在中国的,17
人工智能,17
发展中国,17
展中国家,17
在新加坡,17
冠病毒的,17
的最高水,17
疫情持续,17
接种计划,17
导体产业,17
调查显示,17
冠病病毒,17
其他国家,17
冠病病例,17
的一部分,17
在日本国,17
分析师表,17
析师表示,17
基础设施,16
媒体报道,16
连续个月,16
人士表示,16
货币政策,16
有史以来,16
燃料电池,16
地缘政治,16
的供应链,16
疫情导致,16
剂新冠疫,16
菲律宾总,16
律宾总统,16
拜登政府,16
在苏伊士,16
指挥中心,16
尔塔变异,16
中国恒大,16
设备投资,15
这款疫苗,15
半导体制,15
导体制造,15
新增感染,15
结果显示,15
到亿美元,15
年净利润,15
温室气体,15
半导体生,15
世界各地,15
消息人士,15
疫苗护照,15
大型科技,15
疫苗供应,15
世界卫生,15
界卫生组,15
卫生组织,15
创出历史,15
商品价格,15
国外交部,15
接种中心,15
运河管理,15
河管理局,15
剂冠病疫,15
摩根大通,14
在未来几,14
据知情人,14
科兴疫苗,14
净利润增,14
字节跳动,14
汽车厂商,14
短缺问题,14
净零排放,14
被认为是,14
的投资者,14
汽车生产,14
日本经济,14
债收益率,14
导体生产,14
图像传感,14
像传感器,14
的电动汽,14
联合早报,14
感染人数,14
可能导致,14
日本半导,14
本半导体,14
研究发现,14
国家安全,14
国际奥委,14
际奥委会,14
日新增病,14
中国外交,14
一带一路,14
新增确诊,14
完成接种,14
尔塔变种,14
网络游戏,14
了新冠疫,13
感染新冠,13
消费者的,13
的集装箱,13
美国企业,13
冠疫情的,13
国和中国,13
可以看到,13
达到亿美,13
这是一个,13
财年净利,13
再生能源,13
全球范围,13
中国出口,13
锂离子电,13
离子电池,13
光伏发电,13
一项研究,13
疫苗生产,13
国经济的,13
成为全球,13
已经开始,13
科学家们,13
的数据显,13
宾总统杜,13
强生公司,13
金融市场,13
群体免疫,13
全固态电,13
固态电池,13
年月以来,13
特斯拉的,13
变异病毒,13
台积电的,13
接种工作,13
苗接种计,13
情人士称,13
感染冠病,13
士运河管,13
近几个月,13
成为中国,13
元人民币,13
疫情指挥,13
情指挥中,13
在阿富汗,13
台湾政府,13
新加坡人,12
新冠病例,12
美国辉瑞,12
该公司正,12
这意味着,12
居家办公,12
美国和中,12
应用程序,12
车载半导,12
载半导体,12
半导体厂,12
可再生能,12
台积电在,12
台湾企业,12
特斯拉股,12
超过亿美,12
过亿美元,12
的有效性,12
于新冠疫,12
印度政府,12
半导体工,12
汽车行业,12
监管部门,12
尖端半导,12
端半导体,12
的纯电动,12
全球芯片,12
初创公司,12
紧急事态,12
主要原因,12
以来首次,12
知识产权,12
在社交媒,12
美国政府,12
在东京奥,12
自中国的,12
供应短缺,12
宗商品价,12
国企业的,12
国监管机,12
中国监管,12
最低水平,12
日本制铁,12
中国需求,12
变种毒株,12
阿富汗的,12
政府宣布,12
奥运会的,12
宁德时代,12
疫情扩大,12
罗纳尔多,12
未来几年,11
月净利润,11
创纪录的,11
国和美国,11
至亿美元,11
世界最大,11
新冠肺炎,11
比特币价,11
需求增加,11
首次超过,11
投资者的,11
半导体供,11
证券交易,11
导体厂商,11
价格涨至,11
的影响力,11
奥运会开,11
运会开幕,11
公司的股,11
资亿美元,11
西方国家,11
在疫情下,11
受到影响,11
疫情防控,11
动驾驶汽,11
驾驶汽车,11
日本开发,11
芯片供应,11
半导体行,11
导体行业,11
软银集团,11
候变化的,11
新冠感染,11
主导地位,11
美国股市,11
网络安全,11
没有任何,11
斯利康的,11
这个问题,11
为万日元,11
专家认为,11
交媒体上,11
争对手的,11
感染病例,11
通货膨胀,11
紧急使用,11
品管理局,11
出历史新,11
外交部发,11
部发言人,11
自年以来,11
万美元的,11
月日开始,11
零部件的,11
本国内的,11
熊猫宝宝,11
工作人员,11
对中国的,11
供不应求,11
将在中国,11
在疫情期,11
太鲁阁号,11
日本年度,11
印度尼西,11
度尼西亚,11
安川电机,11
可能成为,11
民众接种,11
西亚政府,11
冠病变种,11
比特币挖,11
特币挖矿,11
环球影城,11
在推特上,10
中美关系,10
字货币的,10
令人担忧,10
官员表示,10
中国制造,10
金融危机,10
中国科兴,10
汽车市场,10
周三表示,10
一段时间,10
中美贸易,10
造成至少,10
的比特币,10
发往美国,10
在美国的,10
半导体企,10
导体企业,10
冠疫情下,10
意味着什,10
味着什么,10
新冠患者,10
情人士说,10
在日本的,10
功率半导,10
率半导体,10
投资者应,10
电子零部,10
子零部件,10
史以来最,10
三星电子,10
部长陈时,10
长陈时中,10
供应链的,10
其新冠疫,10
统杜特尔,10
周四表示,10
各国政府,10
公共卫生,10
万剂疫苗,10
特斯拉在,10
急事态宣,10
事态宣言,10
外交政策,10
规模最大,10
美国通胀,10
全球供应,10
这些公司,10
欧洲药品,10
药品管理,10
其他地区,10
苗接种工,10
中国科技,10
西亚冠病,10
交部发言,10
将在日本,10
国防部长,10
的销售额,10
日本市场,10
量子计算,10
国冠病疫,10
的外国人,10
从月日起,10
社区病例,10
士运河搁,10
运河搁浅,10
中国央行,10
密货币的,10
工作岗位,10
两家公司,10
这种情况,10
年同期的,10
的反垄断,10
中国国家,10
操作系统,10
对新冠病,10
比上年同,10
中央流行,10
央流行疫,10
流行疫情,10
行疫情指,10
飞行汽车,10
车零部件,10
主要企业,10
做好准备,9
新加坡的,9
一周热点,9
周热点回,9
热点回顾,9
数据中心,9
美国总统,9
级自动驾,9
高速公路,9
中国和美,9
排在第位,9
了该公司,9
创出新高,9
生产基地,9
最大规模,9
总理默克,9
理默克尔,9
全球疫苗,9
日本初创,9
本初创企,9
对该公司,9
的新冠病,9
进一步加,9
散户投资,9
台积电等,9
国房地产,9
房地产市,9
地产市场,9
今年以来,9
东日本大,9
日本大地,9
本大地震,9
的重要性,9
累计上涨,9
的自动驾,9
本经济新,9
经济新闻,9
冠疫情期,9
美国国债,9
国债收益,9
日本全国,9
导体工厂,9
投资公司,9
国产疫苗,9
