"3gram","number of tweets","count"
"统候选","6","6"
"本航空","6","6"
"星期一","6","6"
"日本航","6","6"
"总统候","6","6"
"候选人","6","6"
"国民党","5","6"
"能登地","5","5"
"羽田机","5","5"
"田机场","5","5"
"星期二","5","5"
"大地震","5","5"
"国大陆","5","5"
"中国大","5","5"
"海上保","4","6"
"以色列","4","6"
"上保安","4","6"
"投资者","4","5"
"阿斯麦","4","4"
"野的国","4","4"
"石川县","4","4"
"的国民","4","4"
"湾在野","4","4"
"本石川","4","4"
"日本石","4","4"
"川县能","4","4"
"在野的","4","4"
"台湾在","4","4"
"县能登","4","4"
"制造商","4","4"
"京羽田","4","4"
"东京羽","4","4"
"特斯拉","3","5"
"同比增","3","5"
"保安厅","3","5"
"习近平","3","5"
"知情人","3","4"
"日本的","3","4"
"日本海","3","4"
"情人士","3","4"
"马来西","3","3"
"设备制","3","3"
"航空公","3","3"
"能登半","3","3"
"空公司","3","3"
"直接投","3","3"
"的预期","3","3"
"的日本","3","3"
"气象厅","3","3"
"民进党","3","3"
"来西亚","3","3"
"机在东","3","3"
"本能登","3","3"
"星期三","3","3"
"日本能","3","3"
"新加坡","3","3"
"度回顾","3","3"
"年第一","3","3"
"年度回","3","3"
"年之后","3","3"
"客提供","3","3"
"外交部","3","3"
"备制造","3","3"
"在日本","3","3"
"在东京","3","3"
"卫生部","3","3"
"半导体","3","3"
"党总统","3","3"
"光刻机","3","3"
"人死亡","3","3"
"于星期","3","3"
"于中国","3","3"
"比特币","2","5"
"比亞迪","2","5"
"比增長","2","4"
"哈马斯","2","4"
"赵少康","2","3"
"菲律宾","2","3"
"球銷量","2","3"
"海啸警","2","3"
"比亚迪","2","3"
"架日本","2","3"
"机上的","2","3"
"婚外情","2","3"
"国股市","2","3"
"啸警报","2","3"
"全球首","2","3"
"全球銷","2","3"
"一架日","2","3"
"首次突","2","2"
"飞机相","2","2"
"飞机在","2","2"
"飞机制","2","2"
"预期升","2","2"
"韩国东","2","2"
"青少年","2","2"
"陸和台","2","2"
"际控制","2","2"
"门将从","2","2"
"重受损","2","2"
"部门将","2","2"
"部发言","2","2"
"部分光","2","2"
"部元旦","2","2"
"造巨企","2","2"
"造商空","2","2"
"选人赵","2","2"
"选人侯","2","2"
"近两年","2","2"
"车公司","2","2"
"车交付","2","2"
"起在桃","2","2"
"赖萧配","2","2"
"资于比","2","2"
"调查分","2","2"
"该公司","2","2"
"证专家","2","2"
"许发生","2","2"
"蚂蚁集","2","2"
"蚁集团","2","2"
"落后于","2","2"
"萬日元","2","2"
"获批的","2","2"
"莱分析","2","2"
"荷兰半","2","2"
"苹果公","2","2"
"节期间","2","2"
"色列军","2","2"
"航空母","2","2"
"美国施","2","2"
"给出入","2","2"
"给中国","2","2"
"组成的","2","2"
"组人员","2","2"
"级强震","2","2"
"筛试剂","2","2"
"第四季","2","2"
"第一个","2","2"
"空母舰","2","2"
"空中客","2","2"
"石川縣","2","2"
"相撞后","2","2"
"直升机","2","2"
"的香港","2","2"
"的最低","2","2"
"的情况","2","2"
"的市場","2","2"
"的孩子","2","2"
"的压力","2","2"
"的交易","2","2"
"的主要","2","2"
"的一个","2","2"
"登地区","2","2"
"登半島","2","2"
"疫情升","2","2"
"电动汽","2","2"
"由飞机","2","2"
"生部门","2","2"
"生规模","2","2"
"特币的","2","2"
"湾国防","2","2"
"湾卫生","2","2"
"游客涌","2","2"
"涉嫌在","2","2"
"消费的","2","2"
"海沿岸","2","2"
"法证专","2","2"
"法国民","2","2"
"汽车交","2","2"
"民党副","2","2"
"民众党","2","2"
"民事事","2","2"
"死亡人","2","2"
"次突破","2","2"
"桃园机","2","2"
"柯盈配","2","2"
"查分析","2","2"
"柏崎刈","2","2"
"果公司","2","2"
"来首次","2","2"
"机订单","2","2"
"机组人","2","2"
"机相撞","2","2"
"机星期","2","2"
"机场给","2","2"
"机场发","2","2"
"机场与","2","2"
"机制造","2","2"
"机事件","2","2"
"本中部","2","2"
"期升温","2","2"
"有婚外","2","2"
"有五人","2","2"
"有乘客","2","2"
"更为无","2","2"
"星期天","2","2"
"易型指","2","2"
"旦大地","2","2"
"旦假期","2","2"
"旦下午","2","2"
"日本中","2","2"
"无实际","2","2"
"旅客提","2","2"
"新年第","2","2"
"数据显","2","2"
"数基金","2","2"
"散播不","2","2"
"故调查","2","2"
"播不实","2","2"
"撞机事","2","2"
"提供快","2","2"
"控制人","2","2"
"接投资","2","2"
"据显示","2","2"
"指数基","2","2"
"持续发","2","2"
"投资于","2","2"
"批的预","2","2"
"成的一","2","2"
"感到担","2","2"
"情升温","2","2"
"快筛试","2","2"
"建设工","2","2"
"建筑物","2","2"
"应疫情","2","2"
"年来首","2","2"
"市场的","2","2"
"市场对","2","2"
"币的交","2","2"
"巴勒斯","2","2"
"巴克莱","2","2"
"巨企阿","2","2"
"崎刈羽","2","2"
"島地震","2","2"
"岸关系","2","2"
"将于星","2","2"
"导体设","2","2"
"对直接","2","2"
"对中国","2","2"
"家小组","2","2"
"客车公","2","2"
"客涌入","2","2"
"客机上","2","2"
"客和机","2","2"
"实际控","2","2"
"大陸和","2","2"
"大部分","2","2"
"大的压","2","2"
"士透露","2","2"
"境旅客","2","2"
"型指数","2","2"
"场给出","2","2"
"场对直","2","2"
"场发生","2","2"
"场与一","2","2"
"地区发","2","2"
"在过去","2","2"
"在桃园","2","2"
"在新年","2","2"
"在加沙","2","2"
"国防部","2","2"
"国经济","2","2"
"国民事","2","2"
"国最高","2","2"
"国施压","2","2"
"国出口","2","2"
"园机场","2","2"
"因应疫","2","2"
"因市场","2","2"
"四季度","2","2"
"商空中","2","2"
"和法国","2","2"
"和机组","2","2"
"和台灣","2","2"
"向中国","2","2"
"后起火","2","2"
"后于中","2","2"
"同时也","2","2"
"司和法","2","2"
"台湾国","2","2"
"台湾卫","2","2"
"可能会","2","2"
"口禁令","2","2"
"变更为","2","2"
"取消对","2","2"
"发言人","2","2"
"发生规","2","2"
"半島地","2","2"
"勒斯坦","2","2"
"动汽车","2","2"
"副总统","2","2"
"刻机订","2","2"
"券交易","2","2"
"制造巨","2","2"
"到担忧","2","2"
"创办人","2","2"
"列军方","2","2"
"分析师","2","2"
"分析局","2","2"
"分光刻","2","2"
"出口禁","2","2"
