"1gram","number of tweets","count"
"的","14144","37431"
"在","8720","13243"
"国","8579","17151"
"一","7039","9970"
"中","6534","10937"
"日","5731","10222"
"大","5379","7435"
"年","5269","8264"
"为","5195","6564"
"和","5105","6581"
"是","4967","6511"
"人","4956","7744"
"有","4812","6179"
"新","4705","6578"
"了","4686","5963"
"上","4530","5977"
"出","4454","5772"
"美","4389","7189"
"来","4245","5079"
"将","4158","5436"
"不","4156","5448"
"本","4045","6649"
"以","4026","4733"
"这","4011","4794"
"对","3988","5060"
"发","3940","5068"
"月","3918","5155"
"能","3700","4808"
"家","3480","4356"
"成","3352","4115"
"到","3351","3952"
"加","3260","4277"
"公","3219","4468"
"下","3210","3979"
"行","3209","4151"
"业","3182","4937"
"个","3180","3807"
"于","3120","3571"
"高","3109","3928"
"前","3043","3461"
"全","3025","3710"
"会","3024","4032"
"可","2976","3593"
"最","2961","3423"
"生","2857","3746"
"时","2809","3392"
"多","2788","3270"
"现","2761","3241"
"动","2721","3659"
"疫","2668","4164"
"过","2636","3028"
"经","2613","3453"
"开","2596","3134"
"情","2577","3103"
"期","2575","3057"
"产","2538","3800"
"要","2533","3006"
"地","2512","3259"
"市","2507","3488"
"后","2484","2764"
"长","2473","3175"
"用","2453","3322"
"但","2417","2537"
"也","2386","2632"
"示","2380","2658"
"增","2343","3407"
"表","2339","2681"
"与","2294","2618"
"进","2281","2654"
"司","2264","3099"
"部","2240","2732"
"等","2235","2637"
"数","2184","2827"
"制","2183","2750"
"周","2181","2495"
"机","2167","3106"
"度","2158","2721"
"政","2153","2801"
"场","2118","2599"
"者","2098","2539"
"之","2069","2264"
"天","2068","2609"
"已","2067","2263"
"其","2058","2351"
"面","2055","2487"
"冠","2052","2470"
"计","2020","2425"
"方","1992","2391"
"元","1977","3235"
"力","1972","2315"
"通","1968","2411"
"至","1963","2254"
"电","1960","3795"
"资","1943","2927"
"体","1939","2680"
"球","1934","2472"
"分","1929","2236"
"重","1925","2226"
"外","1888","2336"
"关","1877","2206"
"入","1857","2197"
"正","1836","2061"
"应","1827","2178"
"工","1821","2759"
"斯","1810","2778"
"利","1810","2311"
"自","1797","2106"
"而","1795","1927"
"价","1758","2654"
"比","1756","2181"
"作","1733","2090"
"提","1709","1938"
"受","1687","1851"
"他","1673","2097"
"该","1672","1925"
"因","1666","1821"
"说","1664","1850"
"导","1650","2285"
"从","1628","1769"
"内","1623","1827"
"种","1619","2206"
"次","1604","1827"
"首","1601","1814"
"商","1591","1998"
"病","1584","2742"
"万","1581","2170"
"持","1581","1773"
"企","1580","2383"
"同","1570","1814"
"接","1558","1973"
"实","1558","1781"
"合","1557","1881"
"达","1549","1766"
"并","1546","1643"
"主","1545","1761"
"定","1536","1735"
"量","1535","2072"
"近","1524","1670"
"员","1521","1940"
"化","1517","1966"
"今","1507","1635"
"们","1497","1870"
"起","1494","1759"
"约","1493","1798"
"得","1484","1646"
"布","1477","1642"
"续","1470","1612"
"民","1459","1838"
"被","1452","1652"
"及","1449","1563"
"向","1444","1629"
"间","1442","1609"
"供","1439","1743"
"三","1437","1660"
"济","1436","2012"
"更","1433","1662"
"此","1433","1533"
"法","1432","1821"
"品","1419","2034"
"平","1407","1658"
"如","1403","1523"
"相","1401","1559"
"投","1387","1884"
"台","1383","2435"
"亚","1358","1777"
"预","1357","1672"
"据","1355","1563"
"当","1353","1490"
"性","1348","1624"
"车","1344","2682"
